categoria,descricao,ean,preco,titulo,url,titulo_cb,loja
fogoes,"Fogão Brastemp 5 Queimadores Inox 220v Com o fogão Brastemp 5 bocas é possível garantir o ponto perfeito do interior do seu assado pois conta com o Termometro Meat Control, além disso a Turbo Chama Advanced permite a realização de preparos homogêneos e em potência máxima. Termômetro Meat Control Controle a temperatura interna do seu assado e garanta o ponto perfeito utilizando o Termômetro Meat Control, basta conectá-lo no interior do forno e acionar a função na Interface fulltouch.função Vapor Conserve os nutrientes dos alimentos e potencialize o sabor utilizando a função vapor do forno, para isso basta colocar água no compartimento da mesa e acionar a função na Interface Fulltouch. Turbo Chama Advanced Com a liberação de 4 chamas é possível garantir máxima potência e obter resultados homogêneos. Trempes Individuais de Ferro Fundido Máxima robustez, segurança e facilidade de limpeza. Especificações Técnicas Tipo: Piso Tipo de Aquecimento: Gás Dimensões (l x A x p) cm: 76,4 X 96,5 x 68,6 Peso (kg): 49 Quantidade de queimadores: 5 Cor: Aço Inoxidável Marca: Brastemp Classificação Energética: a Tensão (v): 220 Acendimento: Super Automático Botões Removíveis: Sim Tipo de Gás: glp / gn Grill: Sim Pés Reguláveis: Sim Faixa de temperatura do forno (ºC): Até 220 ºC Timer: Sim Porta Removível: Sim Capacidade do Forno (Litros): 96 Funções: Convecção, Vapor, Termômetro Meat Control, Autodesligamento Iluminação Interna: Sim Relógio: Sim Tipo do Forno: Elétrico Trempes: Individuais em Ferro Fundido Mesa: Compartimentada em Aço Inoxidável Características Adicionais: Potência dos Queimadores: 3350 W (Quadrichama) / 2500 W (Rápidos) / 1800 W (Semi-rápido) / 1200 W (Simmer) Display: Touch Screen Prateleiras: 2 Tampa: Sim Garantia de 1 ano: Sim Marca: Brastemp Ref.: BFS5CCRRNA",7891129264755,"R$ 5.191,12",Fogão Brastemp 5 Queimadores Inox 220v,https://www.americanas.com.br/produto/4278047057,fogão brastemp 5 queimadores inox 220v,americanas
fogoes,"Fogão de piso silver 76DXV com mesa de vidro temperado e timer digital, Duplo forno (gás/elétrico) - Forno inferior - 94,5 Litros / Forno superior - 38,8 Litros: Permite assar duas receitas ao mesmo tempo. Forno superior elétrico (assa e doura no tempo determinado pelo timer) e forno inferior à gás. Painel Blue Touch: Friendly usability, o painel permite uma interação maior do consumidor com o produto. Além disso, o produto conta com 6 funções pré- programadas que facilitam o dia-a-dia do consumidor: resistência superior apenas, resistência inferior apenas, superior + inferior simultaneamente, Manter aquecido, Grill e Turbo grill Mesa de vidro espelhada com grades individuais: Mesa com design moderno de vidro espelhada. Além disso, possui grades individuais, proporcionando um fogão ainda mais bonito e prático para limpeza Grill Elétrico: Escolha a opção certa para cada tipo de prato: assar, dourar ou gratinar seus alimentos Queimador Tripla Chama: Chama mais potente que proporciona maior rapidez no preparo dos alimentos. Timer Digital: Permite programar o tempo de cocção desejado. Ao término do preparo, o timer emite um aviso sonoro para o forno a gás e corta o sistema de alimentação do forno elétrico.",7909569000519,"R$ 4.135,12",Fogão 5 Bocas Electrolux Prata Automático com Mesa de Vidro e Duplo Forno (76DXV),https://www.americanas.com.br/produto/1546580254,fogão 5 bocas electrolux prata automático com mesa de vidro e duplo forno (76dxv),americanas
fogoes,"Fogão Brastemp 5 Queimadores Inox 220V BFS5CCRRNA Com o Fogão Brastemp 5 bocas BFS5CCRRNA é possível garantir o ponto perfeito do interior do seu assado pois conta com o Termometro Meat Control, além disso a Turbo Chama Advanced permite a realização de preparos homogêneos e em potência máxima.Termômetro Meat Control Controle a temperatura interna do seu assado e garanta o ponto perfeito utilizando o Termômetro Meat Control, basta conectá-lo no interior do forno e acionar a função na Interface Fulltouch.Função Vapor Conserve os nutrientes dos alimentos e potencialize o sabor utilizando a função vapor do forno, para isso basta colocar água no compartimento da mesa e acionar a função na Interface Fulltouch.Turbo Chama Advanced Com a liberação de 4 chamas é possível garantir máxima potência e obter resultados homogêneos.Trempes Individuais de Ferro Fundido Máxima robustez, segurança e facilidade de limpeza.",7891129264755,"R$ 5.049,00",Fogão Brastemp 5 Queimadores Inox 220V BFS5CCRRNA,https://www.americanas.com.br/produto/2567743243,fogão brastemp 5 queimadores inox 220v bfs5ccrrna,americanas
fogoes,"Fogão Industrial com grelhas de 40x40cm linha Luxo Metalmaq.Indicado para Alta Produtividade.Os Fogões com grelhas de 40x40cm são ideais para quem utiliza panelas grandes. Esta medida de bocas permite que sejam utilizadas panelas de até 45cm de diâmetro sem que uma boca atrapalhe as outras.Além das Grelhas de 40x40 cm, este fogão conta com um perfil de 9cm (o perfil é a distancia entre uma grelha e outra).E para atender a demanda de panelas grandes e cheias de alimentos, todos os queimadores são duplos e de tamanho grande. Feitos em ferro fundido em alta temperatura oque lhe confere alto padrão de dureza.O quadro é construido em chapa de aço ultra resistente e sem soldas o que traz durabilidade e facilidade de limpeza pois não tem nenhuma emenda que gere acumulo de residuos.Os Registros de Gás são de alta durabilidade construídos em latão duro niquelado e Cromado.Caracteristicas PrincipaisQuantidade de Bocas: 6 bocas com queimadores DUPLOSMedidas das Grelhas: 40x40cmDistancias entre as grelhas (perfil) - 9cmMedidas do FogãoMontadoAltura: 800 mmLargura: 1525 mmProfundidade: 1135 mmObservaçãoEste fogão vem preparado com espera para Forno. Caso no futuro exista a necessidade de um forno, você porerá compra-lo separadamente e o mesmo pode ser instalado de maneira simples por qualquer pessoa.Garantia- 6 mesesEntregaVia: TransportadoraFrete: consulte pelo seu CEPPrazo: consulte pelo seu CEPTroca/DevoluçãoMediante termos da politica de trocas e devoluções da empresa.",5280001738941,"R$ 5.239,88",Fogão 6 Bocas Duplas 40x40 com Forno em Inox Luxo M19 - Metalmaq,https://www.americanas.com.br/produto/41022271,fogão 6 bocas duplas 40x40 com forno em inox luxo m19 - metalmaq,americanas
fogoes,"Com o Fogão Brastemp 5 bocas BFS5C é possível garantir o ponto perfeito do interior do seu assado pois conta com o Termometro Meat Control, além disso a Turbo Chama Advanced permite a realização de preparos homogênos e em potência máxima.",7891129264755,"R$ 4.922,10",Fogão Brastemp 5 Bocas Cor Inox Forno Elétrico Com Convecção E Meat Control - BFS5CCR,https://www.americanas.com.br/produto/33023040,fogão brastemp 5 bocas cor inox forno elétrico com convecção e meat control - bfs5ccr,americanas
fogoes,"Informações técnicasAcabamento LateralSilverAcendimento AutomáticoSimAltura96 cmAltura do produto96 cmAltura do produto embalado98,5 cmBandeja Coletora de resíduosNãoBotões RemovíveisSimCapacidade do Forno (l)38,8Capacidade do Forno Inferior (l)94,5Classificação EnergéticaAConsumo0,132 (kg/h)Conteúdo da Embalagem1 Fogão, 1 Manual, etiquetas (não acompanha lâmpada)CorPrata/InoxCorrente (a)0,20/0,11Dimensões (AxLxP)98,5 x 79,5 x 72 cmDimensões Embalado (AxLxP)96 x 77 x 69 cmDimensões produto embalado (AxLxP)98,5 x 79,5 x 72 cmDuplo fornoSimForno AutolimpanteNãoFunção GrillNãoGrades da MesaDuplasInstalaçãoPisoLâmpadaNão Acompanha LâmpadaLargura77 cmLargura do produto77 cmLargura do produto embalado 79,5 cmLinha de fogãoExpertMaterial dos PuxadoresAlumínioMesa de VidroNãoModelo76DXAPés ReguláveisSimPeso53,5 KgPeso Bruto56 KgPeso do produto53,5 kgPotência dos Queimadores (Bocas)Rápidos: 2700 W / Semirrápidos: 1850 wPotência Elétrica Máxima (w)1750Potência Lâmpada (w)25Prateleiras do FornoDuplas e deslizantesProfundidade69 cmProfundidade do produto69 cmProfundidade do produto embalado72 cmProteção Térmica TraseiraSimQuantidade de bocas (queimadores)5Quantidade de Queimadores (bocas)5 bocasQueimador (Boca) Rápido2Queimador (Boca) Semi Rápido2QueimadoresRápidos: 2700 W / Semirrápidos: 1850 wRelógioSimSistemaá gásSistema Bloqueia GásSimTampa de Fogão RemovívelNãoTampa do Fogão removívelNãoTemperatura do Forno160-280°CTensãoBivoltTimerSimTipoPiso 5 bocasTipo de GásGLPTrava de SegurançaNãoTripla ChamaSimVidro Interno do Forno RemovívelSimVoltagemBivolt",7909569000465,"R$ 5.600,00",Fogão 5 Bocas Electrolux Prata Automático com 2 Fornos e Tripla Chama (76DXA),https://www.americanas.com.br/produto/4529900130,fogão 5 bocas electrolux prata automático com 2 fornos e tripla chama (76dxa),americanas
fogoes,"Fogão Brastemp De Piso 5 Queimadores 2 Fornos Inox 110v O fogão Brastemp Mesa de Vidro Duplo Forno Possui um design moderno de cooktop com trempes de ferro fundido e conta com um forno a gás e outro elétrico garantindo potência e precisão até nos preparos mais delicados Mesa de Vidro Design moderno de cooktop no seu fogão Forno Duplo Com um forno a gás e um forno elétrico é possível garantir potência e precisão até nos preparos mais delicados. Grill Finalize as receitas com crocância e de forma precisa Interface Fulltouch Tenha uma melhor experiência de controle acionando todas as funções do painel através do toque. Especificações Técnicas - Tipo: Piso - Quantidade de queimadores: 5 - Acendimento: Gás - Dimensões (l x A x p) cm: 77,3 X 98,3 X 68,00 - Cor: Inox - Tensão: 110V - Peso (kg): 62,00 - Marca: Brastemp Ref: BFD5VCRNNA Marca: Brastemp Garantia: Garantia do produto contra defeitos de fabricação.",7891129264717,"R$ 4.487,12",Fogão Brastemp De Piso 5 Queimadores 2 Fornos Inox 110v,https://www.americanas.com.br/produto/3663780589,fogão brastemp de piso 5 queimadores 2 fornos inox 110v,americanas
fogoes,"O novo fogão Piacere Vetro 5 bocas oferece elegância, desempenho e segurança para sua cozinha. A mesa de vidro temperado com grades de ferro fundido trazem modernidade e segurança ao cozinhar. Com acendimento automático e diferentes tipos de queimadores, ainda possui um queimador central de tripla chama onde você prepara rapidamente os mais variados pratos. O forno com acabamento total clean ainda possui duas grades com alturas ajustáveis.características geraisModelo: PiacereTipo: Fogão de pisoQuantidade de bocas: 5 bocasAcendimento: AutomáticoMaterial da mesa: Vidro temperadoFuncionamento: glp - A conversão para gn precisa ser adaptada, conforme consta no manual do produtoTipo de queimadores: Tripla chama, família, rápido e semi-rápidoMaterial das trempes: Ferro fundidoMinípulos removíveis: SimTampa de vidro: NãoCapacidade do forno: 81,6 litrosPrateleiras do forno: 02 prateleiras ajustáveisLuz no forno: SimForno autolimpante: NãoAcabamento do forno: Total CleanTimer: NãoGrill: NãoRelógio: NãoTermostato: NãoBandeja coletora de resíduos: NãoForno duplo: NãoVálvula de segurança no forno: NãoSistema corta gás: NãoPés: SimEficiência energética: APotência dos queimadores: Tripla chama: 3,7 kW / Família 2,0 kW / Rápido: 1,7 kW / Semi-rápido: 1,2 kWConsumo: 0,135 kg/hFrequência: 60 HzGarantia: 12 meses dimensões FORNOAltura: 30,5 cmLargura: 64,58 cmProfundidade: 41,5 cmPRODUTO montado Altura: 91 cmLargura: 75 cmProfundidade: 62 cmPeso: 32,2 kgEMBALAGEMAltura: 93,5 cmLargura: 78 cmProfundidade: 64 cmPeso: 35 kg",7908156901710,"R$ 2.815,20",Fogao 5B mueller piacere vetro mesa vidro - 60.1230.007,https://www.americanas.com.br/produto/4409497446,fogao 5b mueller piacere vetro mesa vidro - 60.1230.007,americanas
fogoes,,7891129264380,"R$ 2.069,99",Fogão Brastemp BFS5ECB 5 Bocas com Turbo Chama Branco - Bivolt,https://www.americanas.com.br/produto/133667706,fogão brastemp bfs5ecb 5 bocas com turbo chama branco - bivolt,americanas
fogoes,"Fogão Consul Piso 5 Bocas Titanium Mesa de Vidro Bivolt CFS5VATA Consul está trazendo o fogão que vai facilitar sua vida e embelezar sua cozinha. O Fogão Titanium 5 Bocas da Consul tem um design diferenciado, com uma frente única e mesa de vidro com grades de ferro fundido. Ele conta com dupla chama, tornando o preparo das suas receitas mais rápido. Para lhe proporcionar mais conforto, o fogão possui timer com alerta sonoro, ou seja, você fica muito mais livre para fazer outras coisas enquanto sua comida fica pronta, pois quando o tempo do timer finalizar você ouvirá o alerta sonoro. Sua mesa é de vidro temperado, e suas grades são de Ferro Fundido, sendo ideais para aguentar os preparos do dia a dia e ainda facilitando a limpeza do fogão. Possui dupla chama, liberando chama em dois pontos do queimador, possibilitando assim maior agilidade no preparo das receitas. Ainda pensando em facilitar na hora da limpeza, possui Forno Limpa + Fácil, junção da tecnologia Cleartec e do vidro interno vedado, que evita o acúmulo de gordura e deixa tudo mais fácil para limpar. E para ajudar, seus manípulos removíveis garantem uma maior facilidade de limpeza. Seus pés frontais são de fácil instalação, em dois cliques você posiciona os pés no fogão. Os pés traseiros são rosqueados, possibilitando uma regulagem para ajudar na estabilidade do fogão. E para completar, possui Acendimento Automático, trazendo mais facilidade na hora do preparo. Especificações Técnicas: - Marca: Consul - Modelo: CFS5VAT - Voltagem: Bivolt - Quantidade de queimadores: 5 - Cor Principal (Visão Frontal): Titanium - Tipo de Produto: Piso - Funcionamento: Gás - Acendimento: Automático - Painel de Controle: Mecânico - Acabamento da Mesa: Vidro - Porta Removível: Não - Duplo Forno: Não - Timer: Touch - Plugue e Tomada: 10 a - Pré-aquecimento Rápido: Não - Teclas Touch: Sim - Display: Led - Receitas Pré-programadas: Não - Timer com Desligamento Automático: Não - Válvula Corta-gás: Sim - Trava de Segurança: Não - Termostato: Não - Temperatura Mínima (°C): 160 - Temperatura Máxima (°C): 280 - Tipo de Gás: glp/gn - Tipo de Trempe: Individual - Botão Removível: Sim - Tipo Queimador 1: Queimador Semirrápido - Potência Queimador 1 (w): 1800 - Tipo Queimador 2: Queimador Rápido - Temperatura Mínima (°C): 160 - Temperatura Máxima (°C): 280 - Termostato: não - Convecção: Não - Classificação Energética: a - Dimensões do Produto (LxAxP): 76,6 x 94,8 x 63,5 cm - Peso Líquido: 39kg - Garantia: 12 Meses",7891129246645,"R$ 2.454,78",Fogão Consul Piso 5 Bocas Titanium Mesa de Vidro Bivolt CFS5VAT,https://www.americanas.com.br/produto/4885292281,fogão consul piso 5 bocas titanium mesa de vidro bivolt cfs5vat,americanas
