categoria,descricao,ean,preco,titulo,url
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Frigobares,Bom serviço ,6939599517009,"R$5.021,75",HOLPPO Mini geladeira de vinho com 12 garrafas de refrigerador de vinho com controle de temperatura digital de aço inoxidável e porta de vidro temperado de camada dupla,https://www.amazon.com.br/HOLPPO-geladeira-refrigerador-temperatura-inoxid%C3%A1vel/dp/B09CT5KW3N
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Frigobares,Por que você precisa de uma mini geladeira de beleza? ,,"R$2.536,83","PEIHAN Frigobar, 22 litros geladeira compacta de dois núcleos para bebidas, quarto, escritório, dormitório, geladeira pequena portátil AC/DC com display digital e controle de temperatura",https://www.amazon.com.br/PEIHAN-geladeira-escrit%C3%B3rio-dormit%C3%B3rio-temperatura/dp/B094Y6TTTR
Eletrodomésticos/Geladeiras e Freezers/Freezers/Freezers Verticais,Altura,,"R$3.557,07",Expositor/Refrigerador Gelopar Porta de Vidro GPTU-230 228 Litros Preto 220V,https://www.amazon.com.br/Expositor-Refrigerador-Gelopar-GPTU-230-Litros/dp/B07L4KS1S5
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Geladeiras para Bebida,Características: ,0738673427724,"R$143,74","Mini geladeira USB – Geladeira LED USB – Geladeira portátil compacta – Latas de bebidas e refrigerador – Para casa, escritório, carro (preto)",https://www.amazon.com.br/Mini-geladeira-USB-refrigerador-escrit%C3%B3rio/dp/B084ZTBWQF
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Geladeiras com Freezer,,,"R$7.691,00","Geladeira/Refrigerador Samsung Side By Side Frost Free, 501L, 2 Portas, Inox - RS50N3413S8",https://www.amazon.com.br/Geladeira-Refrigerador-Samsung-Frost-Portas/dp/B0813ZX32M
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Geladeiras com Freezer,220 Volts.,,"R$4.504,00","Geladeira Electrolux Top Freezer, Frost Free, 474L, Branco - DF56",https://www.amazon.com.br/Geladeira-Electrolux-Freezer-Frost-Branco/dp/B07ZHH2FB3
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Geladeiras Padrão,Descrição: ,,"R$1.218,99",Kesoto Dobradiça dupla cromada para freezer/refrigerador/geladeira SK2-1460,https://www.amazon.com.br/Dobradi%C3%A7a-cromada-refrigerador-geladeira-SK2-1460/dp/B089R86J37
Eletrodomésticos/Geladeiras e Freezers,"O Freezer Horizontal Midea 205L é perfeito para quem quer preservar alimentos resfriados, conservados ou congelados de forma rápida. Possui cesto aramado para melhor organização de seus alimentos. Graças a versatilidade de suas funções, pode operar tanto como Freezer entre as temperaturas -24 C e -12 C, quanto como conservador e refrigerador entre as temperaturas 0 C e 10 C. Possui selo procel com classificação A de economia no Inmetro e 10 anos de garantia no compressor.",,"R$1.689,00",Freezer Horizontal Midea 205L Branco,https://www.amazon.com.br/Freezer-Horizontal-Midea-205L-Branco/dp/B09F728P23
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Geladeiras com Freezer,"O Freezer Vertical Consul CVU30 possui capacidade para 246L e é ideal para quem tem uma família grande, um montão de amigos e não vai ao mercado toda semana, precisando de muito espaço para conservar tudo. Além disso, esse freezer possui compartimentos suficientes para deixar tudo organizado.",,"R$3.659,00",Freezer Vertical Consul 246 Litros - CVU30EB 110V,https://www.amazon.com.br/Freezer-Vertical-Consul-Litros-110V/dp/B07JP5KJ9Q
Eletrodomésticos/Geladeiras e Freezers/Freezers/Freezers Horizontais,"O Freezer Horizontal CHA31 com 309 litros possui controle eletrônico, para você programar a temperatura facilmente e escolher entre os modos freezer ou refrigerador. É prático e econômico, pois possui classificação energética A.",7891129098831,"R$3.259,00",Freezer Horizontal Consul 309L - CHA31EB 220V,https://www.amazon.com.br/Freezer-Horizontal-Consul-309L-220V/dp/B07C7GQQVT
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Geladeiras com Freezer,"""Encontrar o refrigerador ideal para as suas necessidades e que, de quebra, se adapte ao seu estilo de vida éuma tarefa que exige tempo e paciência. O Refrigerador French Door 579L (DM84X) veio para facilitar de vez a sua vida na cozinha e tornar o seu dia a dia muito mais prãtico.",7896584073591,,Refrigerador Multi Door 579L (DM84X) Electrolux - 110V,https://www.amazon.com.br/Refrigerador-Multi-Door-DM84X-Electrolux/dp/B07C7NLG8X
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Geladeiras com Freezer,FROST FREE | AÇO ESCOVADO | 435L | 2 PORTAS | TOP FREEZER | INVERTER: 43% de economia de energia | ECONAVI*: até +10% de economia | Vitamin Power: Potencializa as vitaminas dos alimentos | Filtro ANTI-BACTERIA | OBS: *Exclusividade Panasonic,,"R$4.398,00",Geladeira Panasonic [Re]Generation Frost Free 483L Aço Escovado NR-BT55PV2XB 220V,https://www.amazon.com.br/Refrigerador-Panasonic-Frost-Free-Escovado/dp/B07JFPVH2T
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Geladeiras para Bebida,"Características do produto: portátil, mini para carro",,"R$3.164,58","Ljyutihg Mini refrigerador portátil de 6 litros da bx, latas de bebidas de cerveja, refrigerador/aquecedor, laptop, PC, escritório, carro, geladeira.",https://www.amazon.com.br/Ljyutihg-refrigerador-aquecedor-escrit%C3%B3rio-geladeira/dp/B08XQ5NR73
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Geladeiras com Freezer,FROST FREE | BLACK GLASS | 425L | 2 PORTAS | BOTTOM FREEZER | Painel Easy Touch | INVERTER: 36% de economia | ECONAVI*: +10% de economia | Vitamin Power: Potencializa Vitamina C e D | Climate Control*: Preserva melhor frutas e verduras | Prateleira Retrátil | OBS: *Exclusividade Panasoni,,"R$6.199,00",Geladeira Panasonic Frost Free 480L A+++ Black Glass - NR-BB71GVFBB,https://www.amazon.com.br/gp/offer-listing/B08KS6ZQLF
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Frigobares,"O frigobar retrô preto onix midea veio para trazer mais estilo aos ambientes. possui compartimento beer storage: espaço perfeito para gelar sua cerveja e outras bebidas. super econômico, o frigobar proporciona estabilidade para latas e garrafas com suas prateleiras de vidro, termostato e mais espaço, pois comporta garrafa de 2l. além disso, tem armazenamento inteligente para até 8 latas e gaveta organizadora, para melhor armazenamento dos seus alimentos. o frigobar retrô preto onix midea conta com baixo nível de ruídos e gás refrigerante ecológico r600a, livre de cfc",7908198003045,"R$1.441,94","Frigobar Retrô, 95L, Preto, 110V, Midea, MRV10P1",https://www.amazon.com.br/Frigobar-Retr%C3%B4-Preto-Midea-MRV10P1/dp/B09FVKJMSY
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Frigobares,,,"R$1.313,99","Mini geladeira, refrigerador portátil e refrigerador pessoal mais quente para cuidados com a pele, alimentos, bebidas, plugues, geladeira para carro, freezer",https://www.amazon.com.br/geladeira-refrigerador-port%C3%A1til-cuidados-alimentos/dp/B09QX2L1CB
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Geladeiras com Freezer,A Geladeira Consul Frost Free 397 litros com freezer embaixo deixa os alimentos do dia-a-dia na altura ideal para você encontrar tudo num piscar de olhos. Ela vem com um painel externo para controle da temperatura e a função Turbo Freezer. Sem falar da Tecnologia EVOX. Ahhh! Bem pensado.,7891129499768,"R$4.039,00",Geladeira Consul Frost Free Duplex 397 litros com Freezer Embaixo cor inox - CRE44AK 220V,https://www.amazon.com.br/gp/offer-listing/B07THM2NYG
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Geladeiras com Freezer,A Geladeira Consul Frost Free 397 litros com freezer embaixo deixa os alimentos do dia-a-dia na altura ideal para você encontrar tudo num piscar de olhos. Ela vem com um painel externo para controle da temperatura e a função Turbo Freezer. Ahhh! Bem pensado.,,"R$3.851,00",Geladeira Consul Frost Free Duplex 397 litros Branca com freezer embaixo - CRE44AB 220V,https://www.amazon.com.br/Geladeira-Consul-Duplex-freezer-embaixo/dp/B07TLDWWFF
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Geladeiras para Bebida,INFORMAÇÃO,,"R$318,90",Mini Geladeira Cooler Para Viagens De Carro - 12v 7 Litros,https://www.amazon.com.br/Mini-Geladeira-Cooler-Viagens-Carro/dp/B0916CFQN3
Eletrodomésticos/Geladeiras e Freezers/Geladeiras,FROST FREE |  TITÂNIO | 387L |  2 PORTAS | TOP FREEZER  | INVERTER:  45% de economia de energia | Smartsense | Antibacteria AG | Jumbo Freezer de 95L | Painel Eletrônico,,"R$4.099,00",Geladeira Panasonic Frost Free 483L Branco NR-BT55PV2WA 110v,https://www.amazon.com.br/gp/offer-listing/B07JGC11W8
