categoria,descricao,ean,preco,titulo,url
"Eletrodomésticos/Fogões, Fornos e Cooktops/Fogões com Forno/Fogões","Design e praticidadeO Fogão de Piso Brastemp Clean com 4 Bocas é ideal para quem busca funcionalidade e praticidade para o dia a dia. Com design moderno e sofisticado, este modelo conta com vidro panorâmico, prateleiras deslizantes e botões removíveis, que facilitam a limpeza.Vidro panorâmicoO vidro panorâmico do Fogão Brastemp alia praticidade e segurança. Através dele é possível acompanhar suas receitas sem precisar abrir a porta.Prateleira deslizanteO Fogão 4 Bocas Brastemp Clean possui duas prateleiras, uma fixa e outra deslizante, que proporciona segurança e facilidade na hora de retirar as receitas.Praticidade na limpezaOs botões do Fogão Brastemp são removíveis, o que proporciona mais facilidade na hora da limpeza.",,"R$1.179,00",Fogão Brastemp 4 bocas Branco com botões removíveis e vidro panorâmico - BFO4NAB BIVOLT,https://www.amazon.com.br/Brastemp-Branco-bot%C3%B5es-remov%C3%ADveis-panor%C3%A2mico/dp/B076CR26X2
Cozinha/Eletroportáteis/Eletroportáteis Especiais/Fornos Elétricos,Forno de Bancada 42L 127V Suggar; Função Grill; Timer 60 minutos com alarme; 2 resistências: superior e inferior; Lâmpada piloto; Grade deslizante,7896518500445,"R$399,00",Forno elétrico de Bancada 42L 127V Suggar,https://www.amazon.com.br/Forno-el%C3%A9trico-Bancada-127V-Suggar/dp/B081QK2F5X
"Eletrodomésticos/Fogões, Fornos e Cooktops/Fogões Cooktop","A linha de Cooktop Inox Midea traz sofisticação para sua cozinha, pois conta com queimadores de alto rendimento em Tripla e MegaChama, além de sua mesa em inox. Suas grades de ferro fundido oferecem mais resistência e segurança para o cozimento. Possui botões removíveis e acendimento automático para maior praticidade no seu dia a dia.",7908198000297,"R$1.112,62",Cooktop Midea 5 bocas com Tripla Chama Ferro Fundido - CYA5B,https://www.amazon.com.br/gp/offer-listing/B08QL2LGJC
Cozinha/Eletroportáteis/Eletroportáteis Especiais/Fornos Elétricos,"O novo forno elétrico de bancada Gourmet Grill, possui pés antiderrapantes que oferecem mais estabilidade e segurança no uso do produto. Além disso, o vidro duplo tem a função de manter por mais tempo o calor interno, conservando a temperatura dos assados e reduzindo o consumo de energia elétrica. Com controle de temperatura automático de 50ºC a 320ºC e timer de até 120 minutos com aviso sonoro, o novo Gourmet Grill é perfeito para a sua cozinha",7896513315396,"R$746,60",Forno Elétrico Fischer Gourmet Grill Bancada 44L Inox 220V,https://www.amazon.com.br/Eletrico-Fischer-Gourmet-bancada-9741-17875-220V/dp/B077TJTYQD
"Eletrodomésticos/Fogões, Fornos e Cooktops/Fogões com Forno/Fogões Embutidos","Tenha mais praticidade e comodidade em sua rotina diária com o Fogão de Embutir 4 Bocas com Grill Elétrico e Timer Electrolux (56EXT). O grill elétrico desse fogão 4 bocas vai dourar, gratinar ou assar os alimentos, deixando suas refeições impecáveis e irresistíveis. Para acompanhar de perto a evolução das receitas, a porta full glass melhora a visibilidade do interior do forno. Ideal para panelas maiores, o queimador tripla chama proporciona maior rapidez no cozimento dos alimentos. Você terá refeições completas para toda a família gastando menos tempo na cozinha e mais tempo com quem você ama. As grades individuais com mesa compartimentada impedem o derramamento de líquidos pela mesa do fogão Electrolux, causando transtornos e atrasos no preparo das refeições, além de facilitar a limpeza. Para garantir mais praticidade à sua rotina, o timer permite programar o tempo de cocção desejado e ao término do preparo, emitirá um alarme sonoro avisando que a refeição está pronta. Os queimadores selados impedem a entrada de resíduos no interior do fogão e o vidro interno da porta do forno é removível, tornando a limpeza mais prática e rápida. A função manter aquecido permite um desligamento automático do forno elétrico fogão 56EXT através do timer, permitindo servir os pratos na temperatura ideal, prontos para consumir.",,"R$2.599,00",Fogão 4 Bocas Electrolux Prata Automático com Grill e Tripla Chama (56EXT) Bivolt,https://www.amazon.com.br/Fog%C3%A3o-Embutir-Electrolux-Bocas-El%C3%A9trico/dp/B07WBVDNQT
Cozinha/Eletroportáteis/Eletroportáteis Especiais/Fornos Elétricos,"Forno Elétrico Philco 46L Preto PFE48P / Multi-funções: Aquece, assa, tosta, doura, gratina e grelha / Com 2 resistências: Superior e inferior, com controle individual de temperatura para distribuir melhor o calor / Função Dourar: Deixa os alimentos mais dourados e crocantes / Função Manter Ligado / Botão Timer de 90 minutos, com desligamento automático e sinal sonoro: Praticidade para programar o preparo de diversas receitas / Grelha deslizante em inox com regulagem de altura: Facilita o manuseio e o acesso ao alimento / Porta em vidro temperado: Maior resistência ao calor e possibilita a visualização do alimento durante o preparo / Luz indicadora de funcionamento: Indica que o aparelho está funcionando / Botão seletor de temperatura de 90 a 230°C / Luz Interna, facilita a visualização do alimento / Garantia de 12 meses / Acompanha grelha, manual de instruções e certificado de garantia / Dimensões: 6,66kg x 32,7cm (A) x 55cm (L) x 46,5cm (P)",7891356091049,"R$529,90",Forno Elétrico Philco 46L Preto PFE48P 127V,https://www.amazon.com.br/Forno-El%C3%A9trico-Philco-Pfe48p-127v/dp/B08PMH9DFQ
"Eletrodomésticos/Fogões, Fornos e Cooktops/Coifas e Exaustores/Depuradores",Cozinha Pratica e Elegante,,"R$422,76",DEPURADOR SLIM PDR60P 127V,https://www.amazon.com.br/PHILCO-059011006-DEPURADOR-SLIM-PDR60P/dp/B08BQND2BM
"Eletrodomésticos/Fogões, Fornos e Cooktops/Coifas e Exaustores/Coifas de Parede","Com a Coifa de Parede Philco 90 PCO90I você terá mais inovação e tecnologia para sua cozinha com a funcionalidade que só a Philco te oferece. Conta com painel touch, muito mais elegante, rápido e prático para a utilização; Possui 90 cm de largura, ideal para fogões de até 6 bocas; Dois benefícios em um único produto, pois além de funcionar como exaustor, também funciona como depurador; Tem dois filtros, sendo um de alumínio e outro de carvão ativo, proporcionando muito mais absorção da gordura e da fumaça; Na hora de cozinhar, as lâmpadas em LED da coifa vão te ajudar bastante iluminando todo o fogão; Produto conta com regulagem de altura, possibilitando o ajuste mais adequado à altura da sua cozinha; Você pode ajustar a sucção conforme a necessidade, basta um toque. São três velocidades para te atender sempre que precisar; Tenha beleza e eficiência com a Coifa de Parede Philco 90 PCO90I.",7891356069321,"R$1.199,90","Coifa, Pco90i, 220w, Cinza, 220v, Philco",https://www.amazon.com.br/Coifa-Parede-Painel-Touch-Philco/dp/B076HYCHJX
"Eletrodomésticos/Fogões, Fornos e Cooktops/Fogões com Forno/Fogões","O fogão de piso silver Electrolux 76LSU é aquele item que faltava para valorizar o ato de cozinhar. Com diferenciais efetivos que auxiliam o preparo dos alimentos e a limpeza do fogão pós-preparo, esse é um eletrodoméstico que oferece vários benefícios para você e sua cozinha.",,"R$1.499,00",Fogão 5 Bocas Electrolux Prata Automático com Ultra Chama e Vidro Interno Removível (76LSU) Bivolt,https://www.amazon.com.br/Electrolux-Queimadores-Robustos-Interno-Remov%C3%ADvel/dp/B07VV7C5PT
"Eletrodomésticos/Fogões, Fornos e Cooktops/Fogões Cooktop","Fogão Cooktop Fischer 5 Bocas Top Elétrico/Gás Mesa Vitrocerâmica Preto 7730-11479 - 220V Detalhes do Produto Mesa vitrocerâmica preto ébano 2 queimadores elétricos, sendo: 1 queimador elétrico (1800W) 1 queimador elétrico (1200W) 3 queimadores a gás, sendo: 1 queimador tripla chama (3700W) 1 queimador rápido (3000W) 1 queimador semirrápido (1750W) Acendimento super automático Trempe individual em ferro fundido Fischer TEC - Sistema de leds indicando que a região do  queimador elétrico em uso está com temperatura igual  ou superior a 50°C Tipo de Gás: GLP ou GN Tensão: 220V (somente) 9 níveis de potência Modelo 7730-11479 Potência: 3.000 W (Elétrico) - 0,25W (Gás) Consumo: 3,0kW/h(Elétrico) - 1,5kW/h (Uso Habitual) - 0,6205 Kg/h (Gás) Corrente 13,6A Acendimento: Super automático Cor / Acabamento: Preto Ébano Dimensões Externas do Produto (A x L x P) 55 x 850 x 480mm Dimensões Externas da Embalagem (A x L x P) 125 x 890 x 520mm Peso Líquido 10,84kg Dimensões do Nicho de Instalação (L x P) 780 x 410mm Peso Bruto 12,08kg Volume Unitário do Produto Embalado 0,057m³ Código EAN 789 65133 1031-5   Fogão Cooktop Fischer 5 Bocas Top Elétrico/Gás Mesa Vitrocerâmica Preto 7730-11479 - 220V",,"R$3.626,00",Fogão Cooktop Fischer 5 Bocas Top Elétrico/Gás Mesa Vitrocerâmica Preto 7730-11479 - 220V,https://www.amazon.com.br/Cooktop-Fischer-El%C3%A9trico-Vitrocer%C3%A2mica-7730-11479/dp/B077SXVJN7
