categoria,descricao,ean,preco,titulo,url
Computadores e Informática/Notebooks,"Tela 14"""" full hd antirreflexo: qualidade de imagem e evita reflexos causados pela iluminação externa. . máxima qualidade para vídeo-chamadas: câmera com resolução 720p hd com privacidade. qualidade de som: alto falantes harman com certificação dolby audio permitem aumentar o volume sem distorcer o som. carregamento rápido: 1h de carga carrega 80% da bateria e que suporta até 10h de uso. multimedia fn keys com controle de comunicação: apenas com um toque em um botão, você pode facilmente atender, fazer e se desconectar chamadas em conferência usando apenas as teclas f9-f11. modern stanby: permite que o sistema seja ativado em poucos segundos e se conecte à internet segundos depois",0196378499840,"R$5.699,05",Notebook Lenovo ThinkPad E14 i5-1135G7 8GB 256GB SSD Windows 11 Home 20TB0023BO Preto,https://www.amazon.com.br/Notebook-Lenovo-E14-i5-1135G7-20TB0023BO/dp/B09VCTRCV8
Computadores e Informática/Notebooks,"Com um processador Intel Celeron rápido, tela vibrante de 14,1 polegadas e 64 GB de armazenamento rápido, o Hyundai HyBook é projetado para atender às suas necessidades diárias. Seu design elegante, leve e portátil de 35,8 cm foi feito para todos e todos. Possui um chip Wi-Fi sólido que mantém você conectado ao mundo, junto com o Windows 10 Home para uma experiência de PC versátil e suave. Expanda seu espaço de armazenamento com seu slot microSD expansível e funcione perfeitamente em qualquer local. A conexão a periféricos é simplificada e simples com uma variedade de opções de portas, incluindo interfaces Mini HDMI, RJ45, USB 2.0 e USB 3.0. Se você estiver fazendo chamadas de vídeo, atender e-mails ou trabalhando em seu blog, é hora de se presentear com um caderno que possa fazer tudo. Apoiado por uma garantia limitada de 1 ano, cada produto Hyundai é feito com qualidade e precisão absolutas.",0810033035890,,"[Novo] Hyundai | Laptop de 14"" polegadas | Laptop de alto desempenho para negócios e estudantes | 8GB RAM - 128GB SSD Storage | Intel N4120 | Windows 10 Home | Armazenamento expansível | WiFi e Bluetooth | Prata",https://www.amazon.com.br/Hyundai-polegadas-desempenho-neg%C3%B3cios-estudantes/dp/B0964C2C61
Computadores e Informática/Notebooks,"APROVEITE AO MÁXIMO O SEU DIA COM O NOVO INSPIRON 15 3000 (3501). Processadores eficientes: possui uma capacidade de resposta incrível que permite a realização de tarefas simultâneas de forma tranquila e sem problemas. Memória e armazenamento pensados para o dia a dia: alterne facilmente entre aplicativos abertos com 8 GB de memória. O SSD ainda proporciona maior tempo de bateria, rápida resposta e performance mais silenciosa. Tela impressionante: a tela de 15,6”, antirreflexo de alta definição com dois lados de bordas finas, oferece uma imagem clara e brilhante que é agradável aos olhos. Faça tudo com eficiência: os mais recentes processadores Intel® Core™ de 11ª geração com Intel® Iris® Xe graphics oferecem capacidade de resposta incrível e multitarefa contínua. CHEIO DE ESTILO! Mobilidade e design: mais leve e fácil de levar com você para todos os lugares, seu exterior elegante faz dele um item indispensável no seu dia a dia. Uma gama de portas: conecte-se a uma TV ou monitor com a porta HDMI, faça download de fotos por meio do slot para cartão SD, aproveite rápidas velocidades de transferência em todos os seus acessórios com duas portas USB 3.2 de 1ª Geração. Teclado numérico: faça orçamentos e outros cálculos em instantes com o teclado numérico. Tranquilidade incluída: Para você que valoriza a comodidade, a Dell oferece o serviço de Assistência Básica no Local por 12 meses (incluindo a garantia legal de 90 dias) em todo o território nacional. Realizamos diagnóstico remoto em horário comercial e, se for identificada a necessidade de substituição de algum componente, enviamos o nosso técnico onde você e seu equipamento estiverem. Para ficar ainda melhor, conte com 15 meses de McAfee MultiDevice, podendo ser utilizado através de cartão eletronico (e-card) que se encontra na caixa do produto, que permite que o cliente proteja mais 2 PCs, tablets ou smartphones, além da sua máquina Dell. Este modelo acompanha o sistema operacional Ubuntu Linux. Ubuntu é um sistema operacional de código baseado em Linux, desenvolvido pela empresa Canonical. É recomendado se você está familiarizado com softwares de código aberto, deseja personalizar seu sistema operacional, ou deseja economizar usando um dos mais populares sistemas operacionais alternativos no mercado e não pagar taxas de licenciamento. O Ubuntu é gratuito e possui milhares de aplicativos disponíveis na Central de Programas, é um sistema operacional seguro, confiável e flexível.",7899864938924,"R$4.649,07","Notebook Dell Inspiron i15-3501-D60S 15.6"" HD 11ª Geração Intel Core i7 8GB 256GB SSD Linux Prata",https://www.amazon.com.br/Notebook-Dell-Inspiron-i15-3501-D60S-Gera%C3%A7%C3%A3o/dp/B091D392PB
Computadores e Informática/Notebooks,"Características: - Processador: Intel Core i7-8565U (1.8 GHz até 4.6 GHz com Tecnologia Intel Turbo Boost, 8 MB Intel Smart Cache, 4 cores) - Memória: 8 GB DDR4 - Placa de vídeo: Gráficos UHD Intel Integrada - Disco Rígido: 1 Tera SSD M2 PCi-e + 2 TERA - Tela: 15.6"" HD (1366 x 768) - Teclado: Padrão ABNT2 com teclado numérico integrado - Mouse: Touchpad com suporte a gestos multitoque - Conectividade Wi-Fi: Wireless Intel 802.11bgn - Conectividade Bluetooth: 4.0 - Webcam: 720p com microfone digital integrado - Som: Waves MaxxAudio Pro - Tipo de bateria: 40 WHr, 4 Células (ions de lítio) Entradas e saídas: - Entrada USB 3.1 x 2 Gen 1 - Entrada USB 2.0 x 1 - Entrada Combo Microfone e Fone de Ouvido - Entrada RJ-45 x 1 Gigabit Ethernet LAN 10/100 - Saída HDMI x 1 - Leitor de cartão 2 em 1 (MMC/SD/SDHC/SDXC) Conteúdo da embalagem: - Notebook Dell Intel Core I7 - Carregador: 45 W AC - Cabo de força - Nota fiscal",,"R$6.299,00",Notebook Dell Intel Core I7 8gb 1tbssd+2tb 15.6 Hd,https://www.amazon.com.br/Notebook-Dell-Intel-Core-1tbssd/dp/B09XRFZJL4
Computadores e Informática/Notebooks,Especificação: ,9182436437436,"R$2.442,37","Sutinna Computador notebook Jumper Tech, Full HD 13,3"" 1920 x 1080, computador laptop, laptop EZbook X3 Air 13,3"" RAM 8GB ROM 128GB 100240V (nós Plug)",https://www.amazon.com.br/Sutinna-Computador-notebook-computador-100240V/dp/B093P2KKFR
Computadores e Informática/Notebooks,Especificação: ,,"R$1.334,00","ASHATA Laptop fino de 15,6 polegadas, CPU N4020, 6G RAM, 64G de armazenamento, para laptop Windows10 com mouse e carregador, suporte HDD/SSD, cinza prateado",https://www.amazon.com.br/ASHATA-polegadas-armazenamento-Windows10-carregador/dp/B09ZVGQFB8
Computadores e Informática/Notebooks,"Características: - Processador: Intel Core i5-10210U (1.6 GHz até 4.2 GHz com Intel turbo max, 6 MB Intel Smart Cache, 4 cores) - Memória: 12 GB DDR4 - Placa de vídeo: Gráficos UHD Intel para processadores Intel Core da 10ª Geração Integrada - Disco Rígido: 256GB SSD M2 PCi-e + 2 TERA - Tela: 15,6"" Full HD (1920x1080) - Teclado: Padrão ABNT2 com teclado numérico integrado - Mouse: Touchpad com suporte a gestos multitoque - Conectividade Wi-Fi: Wireless B/G/N/AC - Conectividade Bluetooth: Sim - Webcam: Acer HD com 1280x720 de resolução - Som: Stereo com 2 Alto falantes - Dimensões e peso: Largura 36,3 cm x Profundidade 25 cm x Espessura 1,79 cm e 1,9 kg - Tipo de bateria: 4 células (Li-Íon) 48Wh 3220 mAh Entradas e saídas: - Entrada USB Tipo-C x 1 - Entrada USB 3.1 x 2 - Entrada USB 2.0 x 1 - Entrada Combo Microfone e Fone de Ouvido - Entrada RJ-45 x 1 Gigabit Ethernet LAN 10/100/1000 - Saída HDMI x 1 Conteúdo da embalagem: - Notebook Acer A515 Core I5-10210u - Carregador: Bivolt - Cabo de força - Nota fiscal",,"R$4.299,00","Notebook Acer A515 Core I5-10210u 12gb 256ssd+2tb 15,6 Fhd",https://www.amazon.com.br/Notebook-Acer-A515-I5-10210u-256ssd/dp/B099TC7DDY
Computadores e Informática/Notebooks,"Você se sentirá em casa com este tradutor portátil de 14 idiomas quando estiver no exterior. Pode aprender o seu discurso de forma correta e auto-correta, tornando-se cada vez mais precisa. ESTE É DEFINITIVAMENTE VALOR SUA COMPRA!",,"R$312,99","Mini portátil portátil AI Translator Stick Intelligent Language Translator Device Electronic Pocket Voice 14 idiomas Motor de tradução Microsoft para aprendizagem, viagens, compras, negócios",https://www.amazon.com.br/Translator-Intelligent-Electronic-Microsoft-aprendizagem/dp/B09QGH3MZ2
Computadores e Informática/Notebooks,"Características: - Processador: AMD Ryzen 7 5800H (3.2 GHz até 4.4 GHz com Clock de Max Boost, 16 MB L3 cache, 8 cores) - Memória: 16 GB DDR4 - Disco Rígido: 1 Tera SSD - Placa de vídeo: AMD Radeon RX 6600M com 8 GB GDDR6 dedicada - Tela: 16,1"" Full HD IPS (1920x1080) 144 Hz - Teclado: Padrão internacional retroiluminado - Mouse: Touchpad com suporte a gestos multitoque - Conectividade Wi-Fi: Intel Wi-Fi 6 (2x2) - Conectividade Bluetooth: Bluetooth 5.2 - Webcam: 720p HD com microfone digital integrado - Som: Alto-falantes Audio by Bang & Olufsen; DTS:X Ultra - Dimensões e peso: Largura 36,9 cm x Profundidade 24,8 cm x Espessura 2,3 cm e 2,3 kg - Tipo de bateria: 4 Células, 70 Wh Li-ion Entradas e saídas: - Entrada USB x 1 Type-C 10Gbps signaling rate (DisplayPort 1.4, HP Sleep and Charge) - Entrada USB x 1 Type-A SuperSpeed 5Gbps signaling rate (HP Sleep and Charge) - Entrada USB x 2 Type-A SuperSpeed 5Gbps signaling rate - Entrada Combo Microfone e Fone de Ouvido - Entrada RJ-45 - Leitor de Cartão SD - Saída HDMI 2.1 Conteúdo da embalagem: - Notebook Hp Omen Amd 7-5800h Rx 6600m 8gb - Carregador: 230W - Cabo de força - Nota fiscal",,"R$11.799,00","Notebook Hp Omen R7-5800h 16gb 1tb Ssd Rx 6600m 8gb 16,1",https://www.amazon.com.br/Notebook-Omen-R7-5800h-16gb-6600m/dp/B0B1G74CCT
Computadores e Informática/Notebooks,,7899864942457,"R$11.869,00","Kit Notebook Dell Alienware m15 R6 AW15-i1100-A10PH 15.6"" FHD 11ªG Intel Core i7 16GB 512GB SSD RTX 3060 Win 11 Headset",https://www.amazon.com.br/Notebook-Dell-Alienware-AW15-i1100-A10PH-Headset/dp/B09LZSN6FR
Computadores e Informática/Notebooks,Categoria: Notebook Subcategoria: Think Modelo: E14 Gen 2 AMD Grupo LPE: NB Série E PN: 20T70004BR Descrição: E14 Gen 2 AMD 14.0 LED FHD IPS Antirreflexo AMD Ryzen 5 4500U 8GB DDR4 3200MH 256GB SSD M.2 NVME TLC Windows 10 Pro 64-bits Tela: 14.0 LED FHD IPS Antirreflexo Processador: AMD Ryzen 5 4500U Chipset: AMD SoC Platform Vpro/Dash: Não Placa Gráfica Integrada: Placa de vídeo Integrada Placa de video Dedicada: Não Memória: 8GB DDR4 3200MH Tipo: 3200MHz DDR4 Memória máxima suportada: 24GB 3200MHz DDR4 Unidade de Disco (capacidade): 256GB SSD M.2 NVME TLC 2nd Slot Unidade de Disco: Não Tipo de Disco: SSD Drive Ótico: Não Drive Ótico (tipo): Não Audio: HD Audio Rede (Ethernet): Gigabit Slot WWAN: Não WWAN: Não Rede (Wireless): Intel AX200 + BT 2x2AX Bluetooth: Bluetooth 5.0 Camera: Camera HD 720p Biometria: Fingerprint Reader Chip de Segurança: Sim Dispositivo Apontador: UltraNav (TrackPoint+TouchPad) Bateria (tipo): 3 células 45 Wh (Interna) Bateria (duração aprox.): até 13 hrs* Teclado (layout): Teclado Padrão BRL Porta(s) USB Tipo-A / USB Tipo-C / Thunderbolt? : 1x USB 2.0 + 1x USB 3.2 Gen 1 + 1x USB 3.2 Tipo-C Gen 1 Porta(s) USB Tipo-C com função Saída de Vídeo Display Port : Sim Saída(s) de Vídeo Adicionais: 1x HDMI 1.4b Conectores SATA / M.2: 2x M.2 PCie x4 Express Card Slot: Não Media Card Slot: Não Smart Card Slot: Não Sistema Operacional: Windows 10 Pro 64-bits Gabinete: Aluminio (Tampa) / Fibra de vidro reforçada com plástico (base),0195042966534,,Notebook Lenovo E14 AMD Ryzen 5 8GB 256 SSD W10P 20T70004BR,https://www.amazon.com.br/Notebook-Lenovo-Ryzen-W10P-20T70004BR/dp/B08QDQ5R1J
Computadores e Informática/Notebooks,"DESIGN LEVE, PRODUTO COMPACTO O VAIO FE14 possui uma tela FHD de alta resolução com moldura reduzida, ou seja, reduzimos o tamanho das bordas laterais produto mantendo a tela de 14 polegadas. USABILIDADE, ERGONOMIA PARA DIGITAR Ergonomia para digitar com linhas delicadas e um teclado silencioso O SOM QUE VAI SURPREENDER VOCÊ Um conjunto de dois alto-falantes com 4W de potência (2W+2W) de alta qualidade é alimentada por um amplificador inteligente de dois canais para fornecer o verdadeiro som que o envolve com realismo livre de distorções e com qualidade de cinema. TECLADO TILT COM RESISTÊNCIA A ÁGUA Com a tela aberta, o VAIO forma um ângulo de inclinação natural com a mesa, reduzindo o estresse na palma da mão e no pulso durante a digitação. MOBILIDADE SEM LIMITES Mais fino (apenas 19,8 mm de espessura). Mais leve, o VAIO FE14 possui apenas 1,55 kg, Wi-Fi 802.11 ac dual-band (mais confiável e 3 vezes mais rápido do que o 802.11n). AUTONOMIA PARA UM DIA TODO DE TRABALHO Um notebook tão bonito e potente como o VAIO FE14 merece nada menos do que uma bateria que dure o dia todo, então, de modo a alcançar sua notável autonomia de até 7 horas, nós projetamos uma bateria especial de polímero de lítio 37Wh de alta capacidade. DESIGN LEVE, PRODUTO COMPACTO O VAIO FE14 possui uma tela FHD de alta resolução com moldura reduzida, ou seja, reduzimos o tamanho das bordas laterais produto mantendo a tela de 14 polegadas.",7896904692976,"R$5.399,00",Notebook VAIO® FE14 Intel® Core™ i7 Windows 11 Home 8GB 256GB SSD Full HD Cinza Escuro - Inclui Microsoft 365*,https://www.amazon.com.br/Notebook-Intel%C2%AE-CoreTM-Windows-Escuro/dp/B09M4YBXM7
Computadores e Informática/Notebooks,"CPU proporciona uma experiência suave que facilita a navegação na Internet. A memória de 1 GB e o SSD de 8 GB de memória garantem algumas atividades básicas da Internet, como ouvir música, ver fotos, bater um papo, enviar e-mails, etc. Tela HD 1024 * 600 de 10,1 polegadas com amplo ângulo de visão, apresentando imagens detalhadas com clareza. Equ o com portas ricas, mini HD, USB 2.0 e porta de fone para atender às suas necessidades diárias de entretenimento. Bateria de lítio embutida de 3000mAh com tecnologia de economia de energia, oferece longa durabilidade. O design ultrafino e portátil, fácil de transportar, almofadas antiderrapantes podem efetivamente reduzir o risco de danos. ",,"R$1.095,44","KAJIA Netbook portátil de 10,1 polegadas AÇÕES S500 1.5 GHz ARM Cortex-A9 / Android 5.1 / 1G + 8G / 1024 * 600 Plugue EU preto",https://www.amazon.com.br/KAJIA-Netbook-port%C3%A1til-polegadas-Cortex-A9/dp/B09X47YBWT
Computadores e Informática/Notebooks,"Lenovo IdeaPad 3i possui design leve e compacto. Com  tela antirreflexo de 15.6"" para mais conforto visual. Notebook ideal para todos os momentos. Conta com WiFi AC ultrarrápido e teclado numérico para trabalhar com mais agilidade nas suas planilhas. Possibilidade de utilizar o armazenamento de forma híbrida e ganhar muito mais agilidade e produtividade no seu dia a dia. Com o slot disponível, você tem a opção de adicionar um SSD NVMe M.2 para ter mais segurança ao armazenar seus dados. Nitidez e alta qualidade de som com certificação Dolby Audio. Sua privacidade pessoal é muito importante. É por isso que o IdeaPad 3i está equipado com porta de privacidade da webcam. Quando não estiver em uma chamada de vídeo ou gravando algo, basta deslizá-la. Faça vídeo-conferências em alta-definição com a câmera HD-720p.",0196118559353,"R$3.099,00","Notebook Lenovo Ultrafino IdeaPad 3i i3-10110U 4GB 256GB SSD Linux 15.6"" 82BSS00100 Prata",https://www.amazon.com.br/Notebook-Lenovo-Ultrafino-i3-10110U-82BSS00100/dp/B09B8V4T9S
Computadores e Informática/Notebooks,"Laptop para jogos MSI GS65 Stealth fino 15,6"" 144Hz Ultra fino e leve Intel Core i7-8750H RTX2060 16GB DDR4 512GB NVMe SSD TB3 Win10 VR Ready. Bateria (tipo): Lítio-polímero.",0824142176665,,"MSI Laptop GS65 Stealth-006 15,6"" 144Hz Ultra fino e leve, Intel Core i7-8750H, NVIDIA RTX 2060, 16GB DDR4, 512GB Nvme SSD, Win10",https://www.amazon.com.br/MSI-Laptop-GS65-Stealth-006-i7-8750H/dp/B07PHNZBDV
